id,profileName,review,date,title,rating,Sentiment
R22MMRWGDTX2E1,krunal,Good quality,"Reviewed in India on June 26, 2024",Value for money,4.0 out of 5 stars,Neutral
RM30KVTQV4ZS5,Sreyash Chowdhary,Avoid buying these gloves. Very cheap quality and got it in this condition.,"Reviewed in India on June 25, 2024",Cheap.,1.0 out of 5 stars,Neutral
R2TB5GFBA95EK9,SHIV SUNDAR,ITS REALLY GOOD. JUST GO FOR IT & ALSO JUST MAKE SURE YOU CHOOSE THE RIGHT SIZE FOR YOUR HANDS.,"Reviewed in India on June 24, 2024",GOOD,5.0 out of 5 stars,Positive
R1QYFBREVPXSIL,Rajat Chauhan,"I like the product but the velcro needs to ,be a little big, it is lose on my wrist","Reviewed in India on June 23, 2024",Fit and quality is fine but velcro is lose.,4.0 out of 5 stars,Neutral
R1Z1M0VMFHPVQ8,saurabh,"wrong size mentioned, product sizing differs from actual. Tried for replacement but unable to do it.Now i am left with wrong size gloves which doesn't fit at all and can't replace that. Very bad experience, money wasted!!","Reviewed in India on June 22, 2024",Wrong sizing mentioned in description,1.0 out of 5 stars,Negative
R2LAHG6N8TSAFX,anu kumar,Good product with quality stitching,"Reviewed in India on June 21, 2024",Value for money,5.0 out of 5 stars,Neutral
R1FVKZRHCHLEAL,S.Rajeshkumar,Excellent quality and durability,"Reviewed in India on June 21, 2024",Very good quality,5.0 out of 5 stars,Positive
RHTD7UY3N5GWE,dr sejal,Product is too good.Material and quality also.Perfect size,"Reviewed in India on June 20, 2024",Best,5.0 out of 5 stars,Neutral
R37H5B4U7ZZLPJ,Sujan,Torn after three months of usage,"Reviewed in India on June 19, 2024",Quality is not good,2.0 out of 5 stars,Neutral
R9TR3BRXH6WWH,Not good. Waste of money,I ordered this on 2nd June. But my brother was admitted in hospital hence I was not able to check it after delivery. This are not good at all.The stiching of the gloves is not appropriate. Grip is long but but overall quality is also not good. I don't think this gloves will last longer. Please don't buy it. I'm regretting it after buying and not being able to return. Hence I'm taking time to let you know guys so you also don't waste your money,"Reviewed in India on June 18, 2024",Waste of money,1.0 out of 5 stars,Neutral
R2CUF01YA7RE5I,Amazon Customer,Really Good. Can save your hands from being hard and stuff while doig weight lifting and gym.Long strip is useful while doing heavy weight lifting.,"Reviewed in India on June 18, 2024",Really Good,5.0 out of 5 stars,Positive
R12KCS3CBHOIA7,Amazon Customer,good in this rate,"Reviewed in India on June 18, 2024",value for money,4.0 out of 5 stars,Neutral
R3C2NHKZZP7KV5,parinita hazarika,I loved this product!! The quality is good.,"Reviewed in India on June 16, 2024",p20hazarika@gmail.com,5.0 out of 5 stars,Positive
R189PZYKZS0HH5,Ajatshatru Singh Dalpatia,Great grip and comfortable wear,"Reviewed in India on June 14, 2024",Gloves for gym,5.0 out of 5 stars,Positive
R2LFI5HD98CTMT,Mayur Takalkar,Got Both Right Hand glove There's no Left hand glove given,"Reviewed in India on June 12, 2024",No Left Hand Glove,1.0 out of 5 stars,Neutral
R612RZIK8AFCE,Jagdish,"Dear guys don't go for it , you can see the hole there within one month..don't wast your money pay little more money and get best one from other seller.","Reviewed in India on June 11, 2024",Don't buy it ...wast of money,1.0 out of 5 stars,Positive
RN13UK4CP00OB,Amazon Customer,Demaged in 2 days of using.Never buy this,"Reviewed in India on June 5, 2024",Worst gloves,1.0 out of 5 stars,Neutral
R2KTWICB2W3V7P,Nahar Singh Rathore,I found different material of both glabs and it's usefull till 5 months.,"Reviewed in India on June 5, 2024",Poor quality of product,1.0 out of 5 stars,Neutral
RC0TIGP7L8RDM,Hariprasad,"Stitching is not that good; teared on first usenot easy for use, removal and fitting is not that greatcomfort is somewhat okay","Reviewed in India on June 5, 2024",avarage,3.0 out of 5 stars,Neutral
R2WXZLZUXJGSKT,Obeshkhan,FALSE,"Reviewed in India on June 2, 2024",Good and comfartable,4.0 out of 5 stars,Neutral
R1K5B6EJWN404B,Tejaswini ,Outer appearance is good but it's not true to it's size. I brought it for my dad and size is L but it's too small for him so I took it from him and honestly it's small for me to,"Reviewed in India on June 1, 2024",Good,3.0 out of 5 stars,Positive
RDPEKISYWNHW2,Bharat Bhushan,Satisfactory,"Reviewed in India on June 1, 2024",Satisfactory,3.0 out of 5 stars,Neutral
R1OFIOJDKCNEEK,Amazon Customer,"Initially, it was pretty good in terms of fit and wrist support. But in less than 1-1.5 months (must have used it for 10-15 sessions), the gloves started tearing near the junction of the wrist band. Very disappointed after seeing this.","Reviewed in India on May 31, 2024",Strictly okay,2.0 out of 5 stars,Neutral
R134Q0D330N27A,SSN,Fits well. Grip is good. It's not very easy to remove though...  besides the dye color of the inner lining fabric stains the hand after a workout session.,"Reviewed in India on May 24, 2024",Good,4.0 out of 5 stars,Positive
RMDBCVDVOLJBM,Gururaj M,"The product is awesome but the durability goes on toss within 3 months. Overpriced and Overrated. If anyone has used this gloves continuously for more than 3 months, its a miracle and I really mean it.","Reviewed in India on May 23, 2024",Great product with worst durability,2.0 out of 5 stars,Positive
R38NA905VJP44A,Amit Sen,The product stitching is very bad. The sponge cane out after 2 days,"Reviewed in India on May 21, 2024",Bad stitching,1.0 out of 5 stars,Negative
R5VW8PRFEJ5FK,Mohammad,"Nice, very useful","Reviewed in India on May 20, 2024",Nice product in good price,5.0 out of 5 stars,Positive
R56GAP3FJNJDV,Navneet,Best gym gloves at this price range. Great wrist support and looks durable too. Sometimes may be sweaty due to absence of mesh cloth on dorsal side of hand otherwise absolutely perfect gym gloves. Also pull tabs help to remove the gloves easily.,"Reviewed in India on May 19, 2024",Best gym gloves,5.0 out of 5 stars,Positive
R260MHGNNXA7C8,james ng,Low quality not even use one time very bad product don’t buy guys,"Reviewed in India on May 14, 2024",Very bad product don’t buy,1.0 out of 5 stars,Negative
R2BX2JO1MRV0XD,Blessen john,Bought it in March 2024 by May 2024 one of the gloves was torn. Not a good quality product. Better to look for other gloves.,"Reviewed in India on May 11, 2024",Very bad quality,1.0 out of 5 stars,Neutral
R2PCC8RKN4PC9U,Abhishek pandey,This did not survive even 2 gym sessions. The band completely wripped off. The stiching on the entire hand is in tatters.The finger webbings have started getting threaded.,"Reviewed in India on May 11, 2024",Exremely Poor Quality,1.0 out of 5 stars,Neutral
R2M6E1X2CCQ7JW,udhaya kumar,"I received a small size but the product quality is good.I disappointed for size only, recommended to order extra size.","Reviewed in India on May 10, 2024",Good,5.0 out of 5 stars,Neutral
R1QZ5VW0ZWTSX5,Sujani,Received gloves not suitable,"Reviewed in India on May 5, 2024",Wrong gloves,1.0 out of 5 stars,Neutral
R1ZPOXBEEAWSB5,atyant,The item got torn just by using it once and even Amazon is not taking it back,"Reviewed in India on May 5, 2024",DONT BUY - Very low quality,1.0 out of 5 stars,Neutral
R35R93BMO4JZ4N,Priyanshu,Very good fitting,"Reviewed in India on April 28, 2024",Very good product,5.0 out of 5 stars,Neutral
R2JKZBF39UR44J,Jayashree Udayakumar,"This product is very worst . Came as torned one ,waste of moneyyy dont buy this","Reviewed in India on April 26, 2024",Dont buy this,1.0 out of 5 stars,Negative
R5P47LWN0SB2R,Godwin Immanuel Benhur,It's good for the price,"Reviewed in India on April 25, 2024",About the Glove,5.0 out of 5 stars,Neutral
R3A0TCUNPMM2A4,Gautam Nandakumar,Absolute value for money & great gloves. Feels premium & I found it better than other big brands. Looks good & the elasticity & fit is beautiful.,"Reviewed in India on April 24, 2024",Premium at a reasonable price,5.0 out of 5 stars,Positive
R3H58WK43HLGTL,Venkatesh K,Great quality and affordable,"Reviewed in India on April 24, 2024",Good addition to your gym accessories,5.0 out of 5 stars,Positive
R38QF5RA2WI1B5,Vasudha Marwah,q,"Reviewed in India on April 23, 2024",Decent gloves with limited life and bad starps which get loose,2.0 out of 5 stars,Neutral
R1FWT0LFXXTY2W,sundeepraj,Worst product and there is no return as well,"Reviewed in India on April 22, 2024",Worst product and there is no return as well,1.0 out of 5 stars,Negative
R133YCCQAEXL56,Hand glouses,"My regular size is M, I ordered M size but it is not fitting me .","Reviewed in India on April 19, 2024",Worst fitment,1.0 out of 5 stars,Neutral
R35L8Y75KDLTR,Sarvesh Shete,Very poor quality. Golves were damaged on the very first day of use. Threads were hanging from almost all stitches.,"Reviewed in India on April 16, 2024",Torn after one day of use,1.0 out of 5 stars,Negative
R1Y00CD74TG4PV,ARUN,"Very good and acceptable protection during weight lifting. Wrist strap is surprisingly longer and hence gives good comfort after wrapping. Velcro is also good. One caveat...palm can be less breathable and sweaty. So, we need to remove for a while and wear it again during prolonged gym activities","Reviewed in India on April 15, 2024",Very good gym gloves,5.0 out of 5 stars,Positive
R3J20J7FLF8LPN,Khaja Bahauddin Niaz,Perfect but be careful about size medium is like small,"Reviewed in India on April 14, 2024",Perfect but be careful about size medium is like small,5.0 out of 5 stars,Positive
R2BW80I2XLSUKM,Rohit,I purchased this for gym and after using this gloves i am able to do more reps.,"Reviewed in India on April 12, 2024",Good product,4.0 out of 5 stars,Neutral
R3DUB6ID5BMQVR,Talha,"It serves the purpose. I have visited physical stores and they punched amount as high as 999 for nivia gloves. Believe me this is just enough and if your still unsure, this company sells another high quality glove.","Reviewed in India on April 8, 2024",It's good.,5.0 out of 5 stars,Neutral
R1P34VSMXYL4I1,Sanjeev K.,"I was worried for size. But, I ordered as per size chart and satisfied with the product. Quality of material is good.","Reviewed in India on April 7, 2024",Comfortable,5.0 out of 5 stars,Positive
R3B26EKVRI8URL,Shereena,Good,"Reviewed in India on April 5, 2024",Good,4.0 out of 5 stars,Neutral
RLSG98PGN7Z4A,babani chakraborty,Very poor qualityTorn in 5 daysDo not buy,"Reviewed in India on April 4, 2024",Poor quality,1.0 out of 5 stars,Negative
R32PS8YETMTEH3,Yamini sharma,"Good material, good Velcro and comfortable fit.","Reviewed in India on April 3, 2024",Great Quality for the price.,5.0 out of 5 stars,Positive
RC5SV620LSRPX,Om Mahale,Great worth buying it using it from last 6-7 months working absolutely great for me..!,"Reviewed in India on April 2, 2024",Nice Product,5.0 out of 5 stars,Positive
R3EOGUE7R53M8R,Avinash P.,Really bad - The product was not fitting to my hands inspite of the size check and Amazon wouldn't replace the items with larger size.,"Reviewed in India on April 1, 2024",Doesnt fit size - Size chart wrong.,1.0 out of 5 stars,Neutral
R282HT2E6LG4L0,Hasmukhbhai Gondalia,Initially it felt like a smaller size but completely wearing it fit perfectly. The strap is completely stretchable and helpful for various sizes. The quality is good and worth of buying at this rate.,"Reviewed in India on April 1, 2024",Comfortable and Good Quality,5.0 out of 5 stars,Positive
R39T9UELECDK1S,anand,"Don't waste your money , I just tried to wear the gloves and stich came off . I am sure it will not last if you are going to use in gym.","Reviewed in India on March 31, 2024",Crap material,1.0 out of 5 stars,Positive
R2DF7ET1SP7ZQ3,Ghulam Askari,Amazing Product,"Reviewed in India on March 30, 2024",Amazing Product,5.0 out of 5 stars,Positive
R3ACWG70OHJ2CI,vishnu deswal,"At this price points it offers leather which is a big thing, I have been using it for 6 months 6 days a week and didn't feel any issue with them.","Reviewed in India on March 29, 2024",Value for Money,5.0 out of 5 stars,Neutral
R1R137LIG5DIL1,Atul,grip is not good while lifting weights,"Reviewed in India on March 26, 2024",grip is not good while lifting weights,3.0 out of 5 stars,Neutral
R2733NW0UBDMDL,Amazon Customer,FALSE,"Reviewed in India on March 25, 2024",Its not fit properly,1.0 out of 5 stars,Neutral
RAJTFUROV7LSC,Gayatri,Quality can be improved,"Reviewed in India on March 25, 2024",Nice,5.0 out of 5 stars,Neutral
